!|ExecuteCalculator|primeFactors|
|of                |are?        |
|1                 |            |
|2                 |2           |
|3                 |3           |
|4                 |2 2         |
|5                 |5           |
|6                 |2 3         |
|7                 |7           |
|8                 |2 2 2       |
|9                 |3 3         |
|10                |2 5         |
|11                |11          |
|12                |2 2 3       |
|64                |2 2 2 2 2 2 |
|75 8              |75 2 2 2    |
